Job Title,Location,Salary_Raw,Job_Description_HTML,Posted_Date,Job_Url
Lead Dynamics CRM,Berlin,$128k - $198k,"We are looking for a <br>skilled<strong> professional to join <br>our</span> team. <strong>You&amp; should have experience with SQL, Business Central. Role <p>involves&nbsp; &nbsp;building&amp; solutions on <strong>the&nbsp; <strong>Microsoft&amp; Stack. Daily rate: </span>$500<br> - $650.",2025-12-10,https://gigs.tech/job/7857
SharePoint & Power Platform Specialist,"London, UK",Competitive,"We are looking for a skilled professional to join our </span>team.&amp; You should have experience with Azure Functions, Dataverse, JavaScript. <p>Role&amp; involves building <div>solutions<strong> on the Microsoft Stack.",2025-12-07,https://gigs.tech/job/2875
Dynamics 365 CE/Sales Developer,Texas,,"</span>We<div> are looking for a skilled professional to join our &nbsp;team.&amp; You should have experience with &nbsp;Dataverse,</span> PCF &nbsp;Controls,&nbsp; Dynamics <br>365<p> Sales. <br>Role</span> involves building solutions on the Microsoft <strong>Stack.<div> Compensation: $100k base <div>+</span> bonus.",2025-12-17,https://gigs.tech/job/1250
Power BI Data Analyst,"San Francisco, CA",$123k - $170k,"We are looking for a <strong>skilled<div> professional </span>to<strong> join our team. You should have experience with Model-driven Apps, Dynamics 365 Sales. Role involves <p>building</span> solutions on the <div>Microsoft&nbsp; Stack.",2025-12-16,https://gigs.tech/job/4535
Microsoft PowerApps Dev,Hybrid - Chicago,55 USD/hr,"We are looking for a <div>skilled<p> professional to join our team. You should have experience with PCF Controls, TypeScript, C# Plugin Dev. Role involves building solutions <div>on&nbsp; the Microsoft Stack.",2025-12-02,https://gigs.tech/job/5669
Lead Dynamics CRM,"San Francisco, CA",91 USD/hr,"We are &nbsp;looking&nbsp; for a skilled professional to join our team. You <div>should<p> have experience with PCF Controls, Power Automate, C# Plugin Dev. Role involves building solutions on the Microsoft Stack.",2025-12-10,https://gigs.tech/job/9061
Power Platform Arch.,See Job Desc.,Competitive,"We are looking for a <div>skilled&nbsp; professional to join our team. You should have experience with Power Automate, Copilot Studio, PCF Controls. Role involves &nbsp;building<div> solutions </span>on<strong> <div>the<p> Microsoft Stack.",2025-12-01,https://gigs.tech/job/9346
MS Dynamics 365 Techno-Functional,"New York, NY",,"We are <p>looking<div> for <div>a<p> skilled professional to join &amp;our<div> team. You should have experience with SQL, Power &amp;Pages.<p> Role involves building solutions <div>on</span> the Microsoft Stack.",2025-11-21,https://gigs.tech/job/2101
Dynamics 365 Developer,United States (Remote),,"We are looking for <div>a<strong> skilled professional <strong>to&amp; join our team. </span>You&nbsp; should have experience with &amp;Dynamics<div> 365 Sales, JavaScript, Power Pages. Role involves <div>building<div> <div>solutions&amp; on the &amp;Microsoft</span> Stack. </span>Compensation:<br> $100k base + bonus.",2025-11-29,https://gigs.tech/job/1702
AI/Copilot Integration Specialist,Bangalore,$92k - $178k,"We are looking for a skilled professional &amp;to<br> join our team. You &amp;should</span> have experience with JavaScript, React, Business Central, Canvas Apps, SQL. Role involves <div>building<div> solutions on the Microsoft Stack. We offer a package around 120k.",2025-12-14,https://gigs.tech/job/3340
